ID,会社名,業種,職種,本社所在地,事業内容,電話番号,URL,OB・OG,パンフレット
35,株式会社エイ・ネット,流通：繊維･衣服･靴･身の回り品,販売職　店舗運営職,東京都江東区新大橋1-1-11,衣服ならびに小物の企画、製造、卸、販売及びEコマース関連事業,03-5624-2646,http://www.a-net.com/,0,0
36,株式会社大阪フード,流通：ﾚｽﾄﾗﾝ･外食･給食,総合職,大阪府大阪市西成区岸里2-1-11 ぼてぢゅうビル２階,レストラン事業、流通事業、コンテンツ事業コーディネーション・コンサルティング事業,06-6653-1331,http://www.botejyu.co.jp/,0,0
37,株式会社ホンダカーズ三重,流通：自動車販売・自動車部品,営業職　営業事務　技術職,三重県松阪市大塚町381-1,ホンダの新車販売と中古車の販売。付随するクレジット、保険等を含むサービスの提供。,0598-52-4166,http://www.hondacars-mie.com/,0,0
38,ミニストップ株式会社,流通：飲食料品・食品スーパー,総合職,千葉県千葉市美浜区中瀬1-5-1 イオンタワー6Ｆ,イオンの戦略的小型店事業としてコンビニエンスストアを展開しています,043-212-6626,http://www.ministop.co.jp/,1,0
39,中部電子システム株式会社,流通：家具・建具・什器・家電・ﾎｰﾑｾﾝﾀｰ,営業職　販売職,愛知県名古屋市昭和区福江3-3-5,情報通信機器、無線機器の設計、販売及び保守ドコモショップ運営事業,052-882-3491,http://www.cds-net.co.jp,3,1
40,株式会社ダイヤモンドダイニング,流通：ﾚｽﾄﾗﾝ･外食･給食,サービス職　店舗運営職　総合職,東京都港区芝4-1-23 三田NNビル１８階,飲食事業の経営・企画・運営アミューズメント事業の経営・企画・運営,03-6858-6073,http://www.diamond-dining.com/,0,0
41,株式会社オリエントコーポレーション,金融：消費者･ｸﾚｼﾞｯﾄ・投資・他,総合職　総合職（地域限定）,東京都千代田区麹町5-2-1 ,信販業（オートローン・ショッピングクレジットクレジットカード・銀行保証等）,03-6632-9305,http://www.orico.co.jp,1,0
42,ＳＭＢＣ日興証券株式会社,金融：証券業,その他,東京都千代田区丸の内3-3-1 ,"コンサルティング業務,投資銀行業務セールス・トレーディング業務,リサーチ業務",03-5644-3111,http://www.smbcnikko.co.jp/index.html,0,1
43,株式会社名古屋銀行,金融：銀行･信託銀行,営業職　事務職,愛知県名古屋市中区錦3-19-17,普通銀行業,052-962-1546,http://www.meigin.com,1,1
44,瀬戸信用金庫,金融：信用金庫・信用協同組合,総合職,愛知県瀬戸市東横山町119-1,預金業務、貸出業務、為替業務、商品有価証券売買業務有価証券投資業務、保険募集業務、その他付帯業務,0561-86-0123,http://www.setoshin.co.jp,11,0
45,株式会社カーチスホールディングス,金融：消費者･ｸﾚｼﾞｯﾄ・投資・他,営業職　販売職　貿易事務職　技術職　総合職,東京都千代田区紀尾井町4-1 新紀尾井町ﾋﾞﾙ,子会社管理事業・海外輸出事業自動車流通業・保険・整備事業･自動車部品卸売業,03-3239-3100,http://www.carchs-hd.com/,0,1
46,蒲郡信用金庫,金融：信用金庫・信用協同組合,事務職　営業事務,愛知県蒲郡市神明町4-25,預金業務、融資業務、内国・外国為替、代理業務、国債・投信・生保・損保窓口販売他,0533-69-5311,http://www.gamashin.co.jp/,4,1
47,内藤証券株式会社,金融：証券業,営業職,大阪府大阪市中央区高麗橋1-5-9,金融商品取引業,06-6229-6501,http://www.naito-sec.co.jp,0,1
48,高岡信用金庫,金融：信用金庫・信用協同組合,総合職,富山県高岡市守山町68,信用金庫法に基づく金融業,0766-23-1221,http://www.takaoka-shinkin.co.jp/,0,1
49,西村証券株式会社,金融：証券業,総合職　一般職,京都府京都市下京区四条通高倉西入立売西町65 ,金融商品取引業,075-221-9383,http://www.nishimura-sec.co.jp,0,0
50,サーラフィナンシャルサービス株式会社,金融：損害保険,営業職　総合職,愛知県豊橋市立花町57,損害保険代理業、生命保険の募集に関する業務、住宅設備機器等の割賦販売、クレジットカード事務局等,0532-33-2241,http://www.sala-fs.co.jp/,0,0
51,株式会社マイナビ,情報通信：ｿﾌﾄｳｴｱ･情報処理・情報ｻｰﾋﾞｽ,営業職　事務職　ｼｽﾃﾑｴﾝｼﾞﾆｱ　総合職,東京都千代田区一ツ橋1-1-1 ﾊﾟﾚｽｻｲﾄﾞﾋﾞﾙ,広告・人材からなる複合型情報発信・採用支援企業。人生の大きな転機のおいて事業領域を拡大中です。,03-6267-4134,http://mynavi.jp,2,1
52,ＤＭＭ．Ｃｏｍグループ,情報通信：インターネット関連サービス,営業職　企画・ﾌﾟﾗﾝﾆﾝｸﾞ職　ﾃﾞｻﾞｲﾝ関連職　ｼｽﾃﾑｴﾝｼﾞﾆｱ　技術職,東京都渋谷区恵比寿4-20-3 恵比寿ｶﾞｰﾃﾞﾝﾌﾟﾚｲｽﾀﾜｰ21F,インターネット関連事業,03-5789-7037,http://recruit.dmm.com,2,1
53,株式会社ソフトウェア・サービス,情報通信：ｿﾌﾄｳｴｱ･情報処理・情報ｻｰﾋﾞｽ,営業職　プログラマー　ｼｽﾃﾑｴﾝｼﾞﾆｱ　栄養士,大阪府大阪市淀川区西宮原2-6-1,今後の日本の医療ITを支える「電子カルテ」システムの開発・販売・導入・保守を一貫して行っています。,06-6842-9228,http://www.softs.co.jp,1,0
54,株式会社ネクスト,情報通信：ｿﾌﾄｳｴｱ･情報処理・情報ｻｰﾋﾞｽ,総合職　その他,東京都港区港南2-3-13 品川ﾌﾛﾝﾄﾋﾞﾙ3F,・日本最大級の不動産・住宅情報サイト『HOME'S』・みんなでつくる街の情報サイト「Lococom」,03-5783-3602,http://www.next-group.jp/,0,0
55,エヌ・ティ・ティ・システム開発株式会社,情報通信：ｿﾌﾄｳｴｱ･情報処理・情報ｻｰﾋﾞｽ,営業職　事務職　ｺﾝﾋﾟｭｰﾀ関連職　プログラマー　ｼｽﾃﾑｴﾝｼﾞﾆｱ,東京都豊島区目白2-16-20 TCS-HD南池袋ﾋﾞﾙ,ソフトウェアの設計・開発(公共・通信・金融　等)、ITインフラ構築、システムコンサルティング,03-3985-8711,http://www.ntt-ipnet.co.jp/k/,21,1
56,アイシン・コムクルーズ株式会社,情報通信：ｿﾌﾄｳｴｱ･情報処理・情報ｻｰﾋﾞｽ,ｺﾝﾋﾟｭｰﾀ関連職　プログラマー　ｼｽﾃﾑｴﾝｼﾞﾆｱ　開発・研究職,愛知県名古屋市中村区名駅4-4-10 名古屋ｸﾛｽｺｰﾄﾀﾜｰ3F,自動車用機器等の組込みソフトウェアの開発から評価ソフトウェア技術に関する研究、開発、評価、技術教育,052-533-7051,http://www.aisin-comcruise.com,14,1
57,コンピューターサイエンス株式会社,情報通信：ｿﾌﾄｳｴｱ･情報処理・情報ｻｰﾋﾞｽ,営業職　プログラマー　ｼｽﾃﾑｴﾝｼﾞﾆｱ,東京都品川区西五反田2-12-19 五反田ＮＮビル13F,システムインテグレーション、システム開発ＩＴコンサルティング、セキュリティソリューション,03-5437-2550,http://www.cscnet.co.jp,0,1
58,株式会社第一コンピュータリソース,情報通信：ｿﾌﾄｳｴｱ･情報処理・情報ｻｰﾋﾞｽ,プログラマー　ｼｽﾃﾑｴﾝｼﾞﾆｱ,愛知県名古屋市中区錦1-16-20 ｸﾞﾘｰﾝﾋﾞﾙﾃﾞｨﾝｸﾞ8F,ビジネスソリューション、テクノロジーソリューショングローバルソリューション,052-204-1411,https://www.dcr.co.jp/,38,1
59,株式会社ウォンツ,情報通信：ｿﾌﾄｳｴｱ･情報処理・情報ｻｰﾋﾞｽ,プログラマー　ｼｽﾃﾑｴﾝｼﾞﾆｱ　技術職　機械・電気設計職,愛知県名古屋市中区栄3-10-22 東朋ﾋﾞﾙ6F,ハードウエア設計・ソフトウエア設計を柱とし、様々な製品開発・システム設計に貢献しています。,052-251-0571,http://www.wantsinc.jp/,26,1
60,株式会社ソリューションジャパン,情報通信：ｿﾌﾄｳｴｱ･情報処理・情報ｻｰﾋﾞｽ,ｺﾝﾋﾟｭｰﾀ関連職　プログラマー　ｼｽﾃﾑｴﾝｼﾞﾆｱ,東京都港区赤坂7-1-16 オーク赤坂ビル　１１Ｆ,情報システム及びビジネスアプリケーションシステムの企画・コンサルティング・設計・構築・運用・保守,03-5413-3621,http://www.solution-japan.co.jp/,0,1
61,株式会社フォーラムエンジニアリング,サービス：その他,生産管理・品質管理職　技術職　開発・研究職　機械・電気設計職　製造・生産関連職,東京都港区虎ﾉ門4-3-1 城山トラストタワー24階,機械、電気電子、制御システム分野の設計・開発等技術系アウトソーシング事業,03-5401-5500,http://www.forumeng.co.jp,29,1
62,グローブシップ株式会社,サービス：その他,その他,東京都港区芝4-11-3 芝フロントビル,ビル総合管理業ビル内の設備管理・保安警備・清掃業務,03-6362-9710,http://www.globeship.co.jp,0,0
63,セントラルエンジニアリング株式会社,サービス：その他,施工管理職　技術職　開発・研究職　機械・電気設計職　建築・土木設計職,東京都千代田区丸の内2-2-1 岸本ﾋﾞﾙ5F,自動車、精密機器、プラント設備等の開発・設計通信機器等の開発・設計・製造　など,03-3213-6910,http://www.central-eng.co.jp/,5,1
64,株式会社アクセル,サービス：その他,製造・生産関連職,愛知県名古屋市中区錦1-6-36 NAPビル6Ｆ,一般労働者派遣事業品質保証事業,052-201-7212,http://www.758accel.com/,1,1
65,大阪富士工業株式会社,サービス：ﾒﾝﾃﾅﾝｽ･保守･修理,営業職　事務職　生産管理・品質管理職　開発・研究職　機械・電気設計職,兵庫県尼崎市常光寺1-9-1,高炉メーカーの鉄鋼工程作業、特殊溶接・溶射、機械加工、スライシング加工　他,06-6487-1865,http://www.ofic.co.jp,0,0
66,アース環境サービス株式会社,サービス：その他,営業職　事務職　技術職　総合職　一般職,東京都千代田区神田紺屋町17 ,総合環境衛生管理,03-3253-0640,http://www.earth-kankyo.co.jp/,3,1
67,医療法人豊岡会,サービス：病院･医院･医療・保健衛生,医療（理学療法士）　医療（作業療法士）　社会福祉士　福祉（相談員）　福祉（介護職）,静岡県浜松市北区三ヶ日町都筑愛宕3664-9,内科、循環器科、呼吸器科、消化器内科、整形外科病院･介護老人保健施設を中心とした多機能ｻｰﾋﾞｽ,053-525-6861,http://www.toyookakai.or.jp/,2,1
68,株式会社アミューズ,サービス：ﾚｼﾞｬｰ･娯楽･ｽﾎﾟｰﾂ施設・ﾌｨｯﾄﾈｽｸﾗﾌﾞ,営業職　販売職　総合職　その他,東京都渋谷区桜丘町20-1,アーティストマネージメント事業メディアビジュアル事業、コンテンツ事業,03-5457-3477,http://www.amuse.co.jp/,0,0
69,株式会社ガリレオ,サービス：その他,プログラマー　ｼｽﾃﾑｴﾝｼﾞﾆｱ　生産管理・品質管理職　機械・電気設計職,愛知県名古屋市中区錦1-6-36 N.A.Pﾋﾞﾙ5階,総合技術エンジニアリングサービス,052-205-6270,http://www.gally-tech.com/,6,1
70,エイム株式会社,サービス：その他専門サービス（ﾃﾞｻﾞｲﾝ･機械設計等）,技術職　開発・研究職,愛知県名古屋市西区名駅2-27-8 名古屋プライムセントラルタワー14F,自動車開発に特化した研究開発とエンジニアリングサービス,052-589-0816,http://www.aim-info.co.jp/,12,1
71,東洋陸運株式会社,輸送：陸上,事務職　総合職　一般職,愛知県名古屋市港区千鳥1-3-17 DMB本社ﾋﾞﾙ,貨物自動車運送事業、貨物利用運送事業倉庫荷役事業,052-659-1661,http://www.trk-dmb.co.jp/,0,0
72,アートコーポレーション株式会社,輸送：陸上,営業職　輸送運転職（鉄道・自動車・船舶・航空等）　総合職　その他,大阪府大東市泉町2-14-11,引越事業、国内物流事業、物販事業、保育事業住宅関連事業、輸入車販売事業,072-870-0123,http://www.the0123.com,1,1
73,熱海市役所,公務（地方）,建築・土木設計職　保健師　一般職　その他,静岡県熱海市中央町1-1,地方自治体,0557-86-6000,http://www.city.atami.shizuoka.jp/,0,0
74,瀬戸市役所,公務（地方）,事務職　技術職　管理栄養士　保育士,愛知県瀬戸市追分町64-1,地方公共団体,0561-82-7111,http://www.city.seto.aichi.jp/bunya/syokuinsaiyoujyouhou/,6,0
75,飛騨運輸株式会社,輸送：陸上,総合職,岐阜県高山市上岡本町1-50,特別積合貨物運送,0577-32-1230,http://www.hida-unyu.co.jp/,3,1
76,愛知県警察本部,公務（地方）,その他,愛知県名古屋市中区三の丸2-1-1,警察官警察職員,052-961-1479,http://www.pref.aichi.jp/police/,83,1
77,日水物流株式会社,輸送：倉庫・運輸附帯ｻｰﾋﾞｽ,事務職　営業事務　貿易事務職　配送・物流関連職,東京都港区芝大門2-8-13 サクセス芝大門ビル5F,倉庫業・貨物利用運送業・通関業　他,03-5472-6100,http://www.nissui-logistics.jp/,0,0
78,株式会社ビートレーディング,輸送：倉庫・運輸附帯ｻｰﾋﾞｽ,事務職　総合職（地域限定）,東京都目黒区青葉台1-19-7,ビギグループとしての流通センターの運営衣類・アクセサリー等の物流業務,03-3477-2531,http://www.btrading.co.jp,0,1
79,東山株式会社,輸送：陸上,管理・ﾏﾈｰｼﾞﾒﾝﾄ職　生産管理・品質管理職　配送・物流関連職　総合職（地域限定）,愛知県名古屋市緑区大高町字二番割23-1,自動車部品輸送業他,052-625-0145,http://www.tozan.co.jp,1,1
80,伊勢市役所,公務（地方）,医療（作業療法士）,三重県伊勢市岩渕1-7-29,公務,0596-21-5505,http://www.city.ise.mie.jp/,0,0
